Target Distance: 100, Step Size: 20
0: (x,y) = (10.8928, 16.7734)
1: (x,y) = (0.892781, -0.547097)
2: (x,y) = (11.4912, 16.4139)
3: (x,y) = (31.479, 15.7159)
4: (x,y) = (44.8616, 0.852979)
5: (x,y) = (39.6852, 20.1715)
6: (x,y) = (36.2123, 39.8677)
7: (x,y) = (16.5797, 36.0515)
8: (x,y) = (-2.33066, 42.5628)
9: (x,y) = (-9.49802, 61.2344)
10: (x,y) = (-24.3609, 47.8518)
11: (x,y) = (-4.72838, 44.0357)
12: (x,y) = (11.6547, 55.5072)
13: (x,y) = (8.52597, 35.7534)
14: (x,y) = (-11.4466, 34.7067)
15: (x,y) = (3.64758, 47.8279)
16: (x,y) = (20.9681, 57.8279)
17: (x,y) = (22.3632, 77.7792)
18: (x,y) = (16.8505, 58.5539)
19: (x,y) = (21.6889, 39.148)
20: (x,y) = (4.91549, 28.2552)
21: (x,y) = (12.7301, 9.84513)
22: (x,y) = (-2.13278, -3.53748)
23: (x,y) = (-19.2761, 6.76328)
24: (x,y) = (-1.61718, 16.1527)
25: (x,y) = (-0.919185, -3.83511)
26: (x,y) = (17.9912, -10.3465)
27: (x,y) = (37.2164, -15.8592)
28: (x,y) = (52.0793, -2.47661)
29: (x,y) = (49.6419, 17.3743)
30: (x,y) = (30.9703, 24.5417)
31: (x,y) = (40.0501, 6.72155)
32: (x,y) = (55.1443, 19.8427)
33: (x,y) = (59.9828, 0.436812)
34: (x,y) = (79.0039, -5.74353)
35: (x,y) = (97.6755, 1.42383)
36: (x,y) = (96.9775, -18.564)
37: (x,y) = (82.5907, -4.67082)
38: (x,y) = (102.223, -8.487)
Target Distance: 20, Step Size: 5
0: (x,y) = (1.79184, 4.6679)
1: (x,y) = (6.79108, 4.75516)
2: (x,y) = (2.90535, 7.90177)
3: (x,y) = (3.07985, 12.8987)
4: (x,y) = (3.16711, 17.898)
5: (x,y) = (-1.74103, 16.9439)
6: (x,y) = (-3.11921, 21.7502)
